memo;descricao;Precisa descrição;grupo;categoria;subcategoria;tipo_fluxo;observacao
TRANSF.RECEBIDA - PIX SICOOB;REM.: JAQUELINE DIAS DE SOUZA Tr;;Despesas;Fornecedores;;Saida;Exemplo inicial informado pelo usuario
PIX RECEBIDO - OUTRA IF;;Não;PIX;Pix entrada;;;
PIX EMITIDO OUTRA IF;;Não;PIX;Pix saída;;;
DÉB.TIT.COMPE EFETIVADO;HYGIEL;Sim;Despesas;Fornecedores;;;
CRED.TRANSF.CONTAS INTERCREDIS;REM.: PRISCILA MUNHOZ XAVIER DE;;Recebimento clientes;;;;
DÉB.TIT.COMPE EFETIVADO;Passes;;;;;;
DÉB.TIT.COMPE EFETIVADO;Paraná boy;;;;;;
DÉB.CONV.ORGÃOS GOV.;BOMBEIROS;Sim;Despesas;Convênios;;;
DÉB.CONV.ORGÃOS GOV.;DIFAL;Sim;Despesas;Convênios;;;
DÉB.TIT.COMPE EFETIVADO;Agrícola;;;;;;
DÉB.TIT.COMPE EFETIVADO;SHV gás;;;;;;
DÉB.TIT.COMPE EFETIVADO;Tozzo;;;;;;
CR COMPRAS VISA;Stone Pagament_Cred._Visa;Sim;Cartão;Crédito Stone;;;
CR COMPRAS MASTERCARD;Stone Pagament_Cred._Mastercard;Sim;Cartão;Crédito Stone;;;
CR COMPRAS MAESTRO;Stone Pagament_Deb._Maestro;Sim;Cartão;Débito Stone;;;
CR COMPRAS VISA ELECTRON;Stone Pagament_Deb._Visa Electro;Sim;Cartão;Débito Stone;;;
CR COMPRAS VISA;SIPAG_Cred._Visa;Sim;Cartão;Crédito SIPAG;;;
CR COMPRAS MASTERCARD;SIPAG_Cred._Mastercard;Sim;Cartão;Crédito SIPAG;;;
CR COMPRAS MAESTRO;SIPAG_Deb._Maestro;Sim;Cartão;Débito SIPAG;;;
CR COMPRAS VISA ELECTRON;SIPAG_Deb._Visa Electron;Sim;Cartão;Débito SIPAG;;;
TRANSF.REALIZADA PIX SICOOB;;Não;PIX;Pix saída;;;
TRANSF.RECEBIDA - PIX SICOOB;;Não;PIX;Pix entrada;;;
;;;;;;;
CREDITO REEMBOLSO ALUGUEL SIPAG;CREDITO REEMBOLSO ALUGUEL SIPAG;Sim;Reembolso;;;;
CR COMPRAS DEB OUTRAS BANDEIRAS;Stone Pagament_Deb._Elo Débito;Sim;Cartão;Débito SIPAG;;;
CR COMPRAS CRE OUTRAS BANDEIRAS;SIPAG_Cred._American Expre;Sim;Cartão;Crédito SIPAG;;;
DÉB.CONV.TELECOMUNICAÇÕES;DÉB.CONV.TELECOMUNICAÇÕES;Sim;Despesas;Convênios;;;
DÉB.TIT.COMPE EFETIVADO;COAMO;;;;;;
DÉB.TIT.COMPE EFETIVADO;SICTELL;;;;;;
CHEQUE PAGO CAIXA;CHEQUE PAGO CAIXA;;Cheque;;;;Para todo cheque, deve ser puxado o número do cheque
CRÉD.TED-STR;IFOOD.COM AGENCIA DE RESTAURANTE;;Ifood;;;;
CR COMPRAS MASTERCARD;IFOOD_Cred._Mastercard;Sim;Ifood;;;;
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;FAST;Sim;Despesas;Fornecedores;;;
DÉB. CONV. SEGUROS;DÉB. CONV. SEGUROS;Sim;Despesas;Convênios;;;
TAR. FORNEC. FOLHA CHEQUE TALÃO;TAR. FORNEC. FOLHA CHEQUE TALÃO;Sim;;;;;
DÉB.TIT.COMPE EFETIVADO;TUICIAL;;;;;;
CHEQUE COMPE INTEGRADA;CHEQUE COMPE INTEGRADA;;Cheque;;;;Para todo cheque, deve ser puxado o número do cheque
PIX RECEBIDO - OUTRA IF - MESMA TIT.;;;;;;;
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;FUNDO PROMOÇÃO;Sim;Despesas;Fornecedores;;;
DÉB.TIT.COMPE EFETIVADO;Paraná boi;;;;;;
DÉB.CONV.TRIBUTOS FEDERAIS - RFB;SIMPLES;Sim;Despesas;Convênio;;;
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;FAV.: NEIDE MARTINS FRANZEN;Sim;Pagamentos colaboradores;;;;
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;FAV.: CLEITON ERNANI LISBINSKI;;;;;;
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;FAV.: CLAIRTON LISBINSKI;;;;;;
DÉB.TÍTULO COBRANÇA;Shopping;;Despesas;Fornecedores;;;
DÉB.TIT.COMPE EFETIVADO;Gás;Não;PIX;Pix entrada;;;
DÉB.CONV.TRIBUTOS FEDERAIS - RFB;GPS;;;;;;
DÉB.TIT.COMPE EFETIVADO;ASTRA;;;;;;
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;Premiação;;;;;;
DÉB.TIT.COMPE EFETIVADO;COPINI;;;;;;
DÉB.TIT.COMPE EFETIVADO;FNS;;;;;;
DÉB.TIT.COMPE EFETIVADO;PLUSVAL;;;;;;
APLICAÇÃO RDC;APLICAÇÃO RDC;;Investimento;;;;
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;FAV.: FRANCIELMA DE SOUZA RIBEIR;;;;;;
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;FAV.: CLEBER DANIEL MACHADO MONT;;;;;;
DÉBITO PAGAMENTO AGENDADO GPS;DÉBITO PAGAMENTO AGENDADO GPS;Sim;Despesas;Convênio;;;
CR COMPRAS CRE OUTRAS BANDEIRAS;SIPAG_Cred._Elo;Sim;Cartão;Crédito SIPAG;;;
DÉB.TIT.COMPE EFETIVADO;ECAD;Sim;;;;;
DÉB.TIT.COMPE EFETIVADO;Difal;Sim;;;;;
COMPRA VISA ELECTRON;PARIGOT TOLEDO BR;Sim;Compra;Cartão débito;;;
DÉB.TIT.COMPE EFETIVADO;Supergas;;;;;;
DÉB.TIT.COMPE EFETIVADO;OESA;;;;;;
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;2 via card prêmio Júlio;;;;;;
DÉB.CONV.EN.ELÉTRICA E GÁS;COPEL;Sim;Despesas;Convênio;;;
DÉB.TIT.COMPE EFETIVADO;SICTEL;;;;;;
